no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed
1,imix,encap,0,1,2765486.726,0,56127063,82965172,0,0,20797854538,30019553412,0,0,0,0,0,0,26838109,30.02296805
2,imix,encap,0,1,2765486.726,0,55957830,82965172,0,0,20737792674,30019553412,0,0,0,0,0,0,27007342,30.02203703
3,imix,encap,0,1,1382743.363,0,44939254,41482401,0,0,18169242008,15009666816,0,0,0,0,0,0,-3456853,30.02740717
4,imix,encap,0,1,2074115.044,0,56548997,62223176,0,0,21815331154,22514473454,0,0,0,0,0,0,5674179,30.019907
5,imix,encap,0,1,2074115.044,0,56623907,62223176,0,0,21848746728,22514473454,0,0,0,0,0,0,5599269,30.02287006
6,imix,encap,0,1,1728429.204,0,56159909,51852361,0,0,22704702330,18761992200,0,0,0,0,0,0,-4307548,30.01231599
7,imix,encap,0,1,1728429.204,0,56173435,51852361,0,0,22711416946,18761992200,0,0,0,0,0,0,-4321074,30.02540517
8,imix,encap,0,1,1901272.124,0,56614839,57037619,0,0,22319563840,20638248448,0,0,0,0,0,0,422780,30.0261631
9,imix,encap,0,1,1901272.124,0,56599204,57037619,0,0,22311167822,20638248448,0,0,0,0,0,0,438415,30.02198887
10,imix,encap,0,1,1814850.664,0,56617650,54445185,0,0,22581169986,19700105598,0,0,0,0,0,0,-2172465,30.01967597
11,imix,encap,0,1,1814850.664,0,56576300,54445185,0,0,22559467362,19700105598,0,0,0,0,0,0,-2131115,30.02199221
12,imix,encap,0,1,1771639.934,0,56655817,53149541,0,0,22760458656,19231156154,0,0,0,0,0,0,-3506276,30.02232194
13,imix,encap,0,1,1771639.934,0,56630620,53149541,0,0,22746600754,19231156154,0,0,0,0,0,0,-3481079,30.02261591
14,imix,encap,0,1,1750034.569,0,56713981,52500977,0,0,22906573110,18996659112,0,0,0,0,0,0,-4213004,30.02599001
15,imix,encap,0,1,1750034.569,0,56659216,52500977,0,0,22876024252,18996659112,0,0,0,0,0,0,-4158239,30.02601123
16,imix,encap,0,1,1739231.886,0,56521767,52176910,0,0,22851931664,18879384118,0,0,0,0,0,0,-4344857,30.02152586
17,imix,encap,0,1,1739231.886,0,56522287,52176910,0,0,22852263654,18879384118,0,0,0,0,0,0,-4345377,30.026088
18,imix,encap,0,1,1733830.545,0,56349780,52015205,0,0,22782527320,18820704420,0,0,0,0,0,0,-4334575,30.02673197
19,imix,encap,0,1,1736531.215,0,56436967,52095638,0,0,22818022374,18850069368,0,0,0,0,0,0,-4341329,30.02067184
20,imix,encap,0,1,1737881.551,0,56481378,52136682,0,0,22835805086,18864729842,0,0,0,0,0,0,-4344696,30.02579379
21,imix,encap,0,1,1738556.718,0,56499801,52156779,0,0,22842984936,18872040754,0,0,0,0,0,0,-4343022,30.02367711
22,imix,encap,0,1,1738556.718,0,56501425,52156779,0,0,22843757852,18872040754,0,0,0,0,0,0,-4344646,30.02630305
23,imix,encap,0,1,1738219.135,0,56491673,52146134,0,0,22840068478,18868269212,0,0,0,0,0,0,-4345539,30.00834799
24,imix,encap,0,1,1738387.926,0,56497864,52151904,0,0,22842416686,18870182366,0,0,0,0,0,0,-4345960,30.0203619
25,imix,decap,0,1,2765486.726,82964419,0,0,53816781,33543070748,0,0,18035726100,0,0,0,0,29147638,0,30.02174497
26,imix,decap,0,1,2765486.726,82964419,0,0,53831857,33543070748,0,0,18039241340,0,0,0,0,29132562,0,30.01121402
27,imix,decap,0,1,1382743.363,41482349,0,0,38291407,16771624564,0,0,13855096366,0,0,0,0,3190942,0,30.02007294
28,imix,decap,0,1,2074115.044,62224002,0,0,53968487,25157562376,0,0,18994275910,0,0,0,0,8255515,0,30.02462101
29,imix,decap,0,1,2074115.044,62224002,0,0,54111150,25157562376,0,0,19063551102,0,0,0,0,8112852,0,30.02267098
30,imix,decap,0,1,1728429.204,51853305,0,0,47864619,20964618334,0,0,17318932240,0,0,0,0,3988686,0,30.021348
31,imix,decap,0,1,1901272.124,57038341,0,0,52650796,23060969764,0,0,19050735714,0,0,0,0,4387545,0,30.02456903
32,imix,decap,0,1,1987693.584,59630906,0,0,54107440,24109255592,0,0,19400921392,0,0,0,0,5523466,0,30.0269568
33,imix,decap,0,1,1987693.584,59630906,0,0,54065416,24109255592,0,0,19378601182,0,0,0,0,5565490,0,30.022964
34,imix,decap,0,1,1944482.854,58334783,0,0,53846631,23585070716,0,0,19483348458,0,0,0,0,4488152,0,30.02788901
35,imix,decap,0,1,1944482.854,58334783,0,0,53847517,23585070716,0,0,19483686842,0,0,0,0,4487266,0,30.02523279
36,imix,decap,0,1,1966088.219,58982302,0,0,54063500,23847015206,0,0,19486554350,0,0,0,0,4918802,0,30.02389312
37,imix,decap,0,1,1966088.219,58982302,0,0,54165522,23847015206,0,0,19543360200,0,0,0,0,4816780,0,30.02248001
