no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,,,,,,
1,imix,encap,0,1,2765486.726,0,16491959,82964523,0,0,5598895716,30019323970,0,0,0,0,0,0,66472564,30.02531099,,16491959,89878233,73386274,,,
2,imix,encap,0,1,2765486.726,0,16605918,82964523,0,0,5638256822,30019323970,0,0,0,0,0,0,66358605,30.01950598,,16605918,89878233,73272315,,,
3,imix,encap,0,1,1382743.363,0,16369474,41482287,0,0,5672604994,15009678980,0,0,0,0,0,0,25112813,30.00924993,,16369474,44939144,28569670,,,
4,imix,encap,0,1,1382743.363,0,16316653,41482287,0,0,5650310820,15009678980,0,0,0,0,0,0,25165634,30.02582002,,16316653,44939144,28622491,,,
5,imix,encap,0,1,691371.6814,0,16307812,20741138,0,0,6131027876,7504835034,0,0,0,0,0,0,4433326,30.02204418,,16307812,22469566,6161754,,,
6,imix,encap,0,1,691371.6814,0,16342253,20741138,0,0,6143939682,7504835034,0,0,0,0,0,0,4398885,30.023206,,16342253,22469566,6127313,,,
7,imix,encap,0,1,345685.8407,0,11234767,10370554,0,0,4542302730,3752412188,0,0,0,0,0,0,-864213,30.021173,,11234767,11234767,0,,,
8,imix,encap,0,1,518528.7611,0,16371023,15555845,0,0,6536759828,5628621760,0,0,0,0,0,0,-815178,30.0263021,,16371023,16852165,481142,,,
9,imix,encap,0,1,518528.7611,0,16377749,15555845,0,0,6542555532,5628621760,0,0,0,0,0,0,-821904,30.02383685,,16377749,16852165,474416,,,
10,imix,encap,0,1,432107.3009,0,14043481,12963213,0,0,5677887146,4690522404,0,0,0,0,0,0,-1080268,30.01680303,,14043481,14043481,0,,,
11,imix,encap,0,1,475318.031,0,15447833,14259538,0,0,6245677722,5159576232,0,0,0,0,0,0,-1188295,30.01771903,,15447833,15447833,0,,,
12,imix,encap,0,1,496923.396,0,16150001,14907693,0,0,6529569386,5394100084,0,0,0,0,0,0,-1242308,30.02017498,,16150001,16150001,0,,,
13,imix,encap,0,1,507726.0785,0,16350456,15231776,0,0,6587514580,5511365474,0,0,0,0,0,0,-1118680,30.02624297,,16350456,16501091,150635,,,
14,imix,encap,0,1,507726.0785,0,16158480,15231776,0,0,6478840002,5511365474,0,0,0,0,0,0,-926704,30.02471495,,16158480,16501091,342611,,,
15,imix,encap,0,1,502324.7373,0,16136698,15069726,0,0,6488574926,5452729388,0,0,0,0,0,0,-1066972,30.01553106,,16136698,16325536,188838,,,
16,imix,encap,0,1,502324.7373,0,16250505,15069726,0,0,6557023450,5452729388,0,0,0,0,0,0,-1180779,30.025599,,16250505,16325536,75031,,,
17,imix,encap,0,1,499624.0666,0,16154491,14988719,0,0,6517392668,5423419380,0,0,0,0,0,0,-1165772,30.01807785,,16154491,16237779,83288,,,
18,imix,encap,0,1,499624.0666,0,16164282,14988719,0,0,6523129132,5423419380,0,0,0,0,0,0,-1175563,30.02731395,,16164282,16237779,73497,,,
19,imix,encap,0,1,498273.7313,0,16152304,14948191,0,0,6524103044,5408754206,0,0,0,0,0,0,-1204113,30.02400708,,16152304,16193874,41570,,,
20,imix,encap,0,1,498273.7313,0,16141541,14948191,0,0,6518105956,5408754206,0,0,0,0,0,0,-1193350,30.01496506,,16141541,16193874,52333,,,
21,imix,encap,0,1,497598.5637,0,16111214,14927939,0,0,6504592764,5401426226,0,0,0,0,0,0,-1183275,30.02411699,,16111214,16171934,60720,,,
22,imix,encap,0,1,497598.5637,0,16118562,14927939,0,0,6509237216,5401426226,0,0,0,0,0,0,-1190623,30.02631903,,16118562,16171934,53372,,,
23,imix,encap,0,1,497260.9798,0,16160947,14917797,0,0,6533996528,5397757638,0,0,0,0,0,0,-1243150,30.02926302,,16160947,16160947,0,,,
24,imix,encap,0,1,497429.7718,0,16162251,14922867,0,0,6534084298,5399592330,0,0,0,0,0,0,-1239384,30.01491094,,16162251,16166439,4188,,,
25,imix,encap,0,1,497429.7718,0,16157111,14922867,0,0,6531070182,5399592330,0,0,0,0,0,0,-1234244,30.02055502,,16157111,16166439,9328,,,
26,imix,decap,0,1,2765486.726,82964636,0,0,19222297,33543211496,0,0,4536952926,0,0,0,0,63742339,0,30.01503611,,,,,19222297,76582741,57360444
27,imix,decap,0,1,2765486.726,82964636,6,0,19328300,33543211496,7788,0,4558409530,0,0,0,0,63636336,-6,30.02549505,,,,,19328300,76582741,57254441
28,imix,decap,0,1,1382743.363,41482275,0,0,19205990,16771608760,0,0,4787814300,0,0,0,0,22276285,0,30.020473,,,,,19205990,38291331,19085341
29,imix,decap,0,1,1382743.363,41482275,6,0,19145943,16771608760,7788,0,4783500390,0,0,0,0,22336332,-6,30.02322197,,,,,19145943,38291331,19145388
30,imix,decap,0,1,691371.6814,20741132,6,0,17565108,8385800296,7788,0,4555895902,0,0,0,0,3176024,-6,30.0212841,,,,,17565108,19145660,1580552
31,imix,decap,0,1,691371.6814,20741132,0,0,17550188,8385800296,0,0,4505612672,0,0,0,0,3190944,0,30.02557278,,,,,17550188,19145660,1595472
32,imix,decap,0,1,345685.8407,10370552,6,0,9394864,4192894228,7788,0,3193631994,0,0,0,0,975688,-6,30.0237062,,,,,9394864,9572817,177953
33,imix,decap,0,1,345685.8407,10370552,0,0,9572817,4192894228,0,0,3463764648,0,0,0,0,797735,0,30.02388501,,,,,9572817,9572817,0
34,imix,decap,0,1,518528.7611,15555838,0,0,14359235,6289345764,0,0,5195650692,0,0,0,0,1196603,0,30.01798105,,,,,14359235,14359235,0
35,imix,decap,0,1,604950.2212,18148499,0,0,16752460,7337578852,0,0,6061599766,0,0,0,0,1396039,0,30.02722692,,,,,16752460,16752461,1
36,imix,decap,0,1,648160.9513,19444801,0,0,17935926,7861682890,0,0,6488142490,0,0,0,0,1508875,0,30.02183795,,,,,17935926,17949047,13121
37,imix,decap,0,1,648160.9513,19444801,0,0,17949047,7861682890,0,0,6494563804,0,0,0,0,1495754,0,30.02413607,,,,,17949047,17949047,0
38,imix,decap,0,1,669766.3164,20092979,0,0,17065395,8123746252,0,0,4481622190,0,0,0,0,3027584,0,30.02471304,,,,,17065395,18547365,1481970
