,,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,table,direction,pps,bps
linux,cpufreq-34,imix,encap,0,1,497260.9798,0,16160947,14917797,0,0,6533996528,5397757638,0,0,0,0,0,0,-1243150,30.02926302,3054.666666,imix,encap,497260.98,"1,518,966,540"
linux,cpufreq-34,imix,decap,0,1,649511.2866,19485330,13,0,17986458,7878070428,16874,0,6508101840,0,0,0,0,1498872,-13,30.01863003,3054.666666,imix,decap,599548.88,"1,831,421,979"
linux,cpufreq-34,imix,both,0,1,409995.5601,12299858,13324836,12299848,11353715,4972926944,5387335326,4450496854,4108152312,0,0,0,0,946143,-1024988,30.01929402,3054.666666,imix,both,393595.74,"1,202,303,780"
linux,cpufreq-34,udp64b,encap,0,1,539011.7695,0,16170304,16170304,0,0,2166820736,1034899456,0,0,0,0,0,0,0,30.01599407,512,udp64b,encap,539011.77,"275,974,026"
linux,cpufreq-34,udp64b,decap,0,1,673764.7119,20212899,0,0,20212899,2708528466,0,0,1293625536,0,0,0,0,0,0,30.02730894,512,udp64b,decap,673764.71,"344,967,532"
linux,cpufreq-34,udp64b,both,0,1,454791.1805,13643751,13643751,13643751,13643751,1828262634,1828262634,873200064,873200064,0,0,0,0,0,0,30.03229809,512,udp64b,both,454791.18,"232,853,084"
linux,cpufreq-34,udp128b,encap,0,1,536857.395,0,16105687,16105687,0,0,3188926026,2061527936,0,0,0,0,0,0,0,30.019346,1024,udp128b,encap,536857.39,"549,741,972"
linux,cpufreq-34,udp128b,decap,0,1,678596.1466,20357909,0,0,20357909,4030865982,0,0,2605812352,0,0,0,0,0,0,30.03010798,1024,udp128b,decap,678596.15,"694,882,454"
linux,cpufreq-34,udp128b,both,0,1,447614.4773,13428418,13428418,13428418,13428418,2658826764,2658826764,1718837504,1718837504,0,0,0,0,0,0,30.03242803,1024,udp128b,both,447614.48,"458,357,225"
linux,cpufreq-34,udp256b,encap,0,1,535821.639,0,16074607,16074607,0,0,5240321882,4115099392,0,0,0,0,0,0,0,30.02853298,2048,udp256b,encap,535821.64,"1,097,362,717"
